,id,name,lat,lng,checkinsCount,tipCount,usersCount
0,4b9d22e3f964a520d49236e3,Peckham Bus Station,51.47353804023315,-0.06767749786376953,600,1,174
1,4b914e3ef964a5209bb133e3,Morrisons,51.47293659014834,-0.06851434707641602,788,8,230
2,4acfbd31f964a520a8d520e3,Peckham Pulse Healthy Living Centre,51.474008047709475,-0.07024550356775888,568,6,137
3,513a060ef31c8c56a779149f,Mouse Tail Coffee Stories,51.47372515642006,-0.0695335865020752,105,4,30
4,4b48ebbcf964a520705d26e3,Peckham Library,51.474086021184505,-0.06947994232177734,436,8,211
5,4c87abb8821e9eb09ccd8d89,The Kentish Drovers (Wetherspoon),51.47371596136696,-0.07003806478111671,299,5,129
6,4ce1b5f694c3b60c261878ea,Peckham Library Bus Stop,51.475003952020565,-0.0690445650748491,206,0,41
7,520f4aa411d2255fa2b07961,Post Office,51.47406005859375,-0.06780356168746948,4,1,1
8,4c838235dc018cfa3319d96c,Scope Charity Shop,51.473860116743516,-0.06932280758312033,6,0,2
9,4ebda257b803bca7dd423ea5,Katies,51.474562778976306,-0.06884929796733487,77,3,24
10,5288bdb5498e568a9fa9f2d9,Rex Launderette,51.474029541015625,-0.06707735359668732,2,0,1
11,4c1e8ee9d3b5b7132f31bda5,M Manze,51.47381203153165,-0.0692439079284668,30,1,23
12,4fd2433ee4b0b895950ff5aa,Rakhs News,51.474091801977515,-0.06809616529995227,4,0,1
13,50e9a7b9e4b0d58a5a48ae3e,Beyonce's Hairdressers,51.474015,-0.067934,2,0,1
14,4ce1b6d6db1254817c5843ce,Peckham Post Office Bus Stop,51.47401000124967,-0.0666429511546086,23,0,11
15,525ff0b9498e4986f6ea7980,Yemmy Textiles & Fashions,51.47399865808495,-0.06840060951135514,2,0,1
16,504751d0e4b09309f716cae2,Peckham Pulse Soft Play,51.474287,-0.069174,2,1,2
17,528dce2211d2d07b48e5cbee,New Dixie,51.473604867530874,-0.06950139999389648,3,0,1
18,503e479ee4121b0143ab382b,Speedy Cash,51.47406597321693,-0.06829977035522461,0,0,0
19,4e8b7cbc9a52f194ddeb4bd8,Beyonce,51.473994209716004,-0.06734735139599062,1,0,0
20,4b7692a2f964a52093522ee3,Post Office,51.47379346629135,-0.0676393386128305,44,0,30
21,52665516498e40504f2837ed,The Aylesham Centre bus stop,51.474056243896484,-0.06838279962539673,1,0,1
22,4fb25703e4b08f07157a9419,Peckham One Stop Shop (Southwark Council),51.474469995567645,-0.06954763227063705,23,0,9
23,4c61195b12e5c928eec4204c,Wilsons,51.47368003387517,-0.06905350781701794,6,0,5
24,4cfe3dc7d8468cfab9d1046c,Peckham Space,51.47390116043533,-0.06937431568675563,123,1,80
25,52fcd0ee498e9f107191ab7a,The Greyhound,51.474061,-0.068473,2,0,2
26,4f365e62e4b099ca9331ae34,Greggs,51.47261796418854,-0.06996123048839638,28,1,12
27,4fd3ea10e4b002c9e83a58ba,N171,51.473953,-0.066797,9,0,8
28,4edb539e93ad464d29a0c2e2,Peckham Farmers Market,51.47361091346713,-0.06962046536977484,19,0,9
29,4e90076ef79014e2ce5a93eb,Criterion Restaurant,51.473839,-0.067379,4,0,4
30,4bd7459c304fce727a4b33ab,Peckham Lodge London,51.47406612869795,-0.07534289692385593,864,14,388
31,5215d9b411d279068db99825,The Cinnamon Tree Bakery,51.47360127203052,-0.0725926323969136,18,1,14
34,4bcef49aef10952149d18486,Peckham Job Centre,51.47347466046099,-0.07204780151404593,11,0,9
36,4fd5fcbce4b098b0835f96dc,Lister Primary Care Centre,51.474440939755944,-0.07528759413616275,46,2,20
38,4b4f47def964a520a7ff26e3,Lister GP walk-in centre,51.47376525264597,-0.0718832015991211,54,1,33
39,4bc84e24af07a5930792802d,Persepolis,51.473401668623445,-0.07161316468598208,72,4,37
40,4bed88fa3372c92815c71114,Lidl,51.47331750945612,-0.0709068775177002,87,0,52
41,4e1826fbb0fb8567c6699928,Greggs,51.47378547027502,-0.07261001564940552,27,0,17
44,4cdd6c0214119eb0873bed33,Burger King,51.47320204704096,-0.07095916784113213,39,2,34
45,52e69fa911d2fe1ae2a68cf2,Peckham healthy fitness gym,51.4746872,-0.0722595,0,0,0
46,50ba3ad3e4b05d62652c20d4,Joyces Omse Hair Saloon,51.473807,-0.073151,2,0,1
47,4b55f203f964a52007f827e3,Day Lewis Pharmacy,51.473685060158886,-0.07171154022216797,36,0,14
50,4ecf924b0e01f1a87ec5b348,Gabbys Takeaway,51.473621462537494,-0.07318940706489671,7,0,4
51,4c1f1356e923ef3befac4e54,Obalende Suya Express,51.473479497150755,-0.07026700634967756,39,0,20
52,4f8eefc1e4b030bfd6304261,KHF,51.47366273688213,-0.07263869433096996,6,0,3
53,5139ede1e4b0fe2082126f65,Ome Stop Shop (Southwark),51.474216,-0.071741,2,0,1
54,50927676e4b0f08bba2c8cd5,Lidl,51.472895,-0.070825,7,0,4
56,5144551ae4b00b9d22c30184,mousetail,51.47465515136719,-0.07144690304994583,2,0,2
57,5206631011d2c92411824739,Argos,51.47382354736328,-0.07183559983968735,3,0,3
58,4d12030a957fa1cd90d16a9f,The Academy At Peckham Bus Stop,51.47402036541662,-0.0744900878607881,30,0,14
60,5202bb10498e61d1fa61233a,Peckham Pelican,51.47426503438942,-0.07730817329143107,157,4,93
61,4ac518d3f964a52069a720e3,South London Gallery,51.47416621296672,-0.08003711700439453,658,8,301
62,4c4adf66959220a1618cbc0e,No. 67,51.474048160931176,-0.07955382075207834,672,20,284
64,4b7bdb80f964a520e6702fe3,Camberwell College of Arts,51.473942,-0.080614,1253,3,221
65,4d6bfe10d47bb60c67b4a5aa,New Gallery London,51.47424793030207,-0.07745162475497727,49,2,31
67,4c909eac352da1cd95d112b2,Tesco Express,51.477673,-0.081897,438,5,88
68,50a9559be4b042e201a27d54,Camberwell Campus,51.473564145585414,-0.0821414868029442,102,1,9
69,4e3fd45181dc6ce0fac98888,Fourteen-Nineteen Bookshop @ New Gallery London,51.47401919459165,-0.07707595825195312,1,2,1
70,4e9811f76c25f528604b5792,Cafe Culture,51.4737704129947,-0.0811167823646519,61,2,31
71,4b87aadcf964a5206ac631e3,The Academy at Peckham,51.47407923109355,-0.07861454885456172,9,0,8
72,507d2169e4b070cbfcb05fee,Camberwell Art & Design Shop,51.473893,-0.080397,3,0,1
73,4e8ef1c482315acfeb7aea45,Talfourd Road,51.4737410206497,-0.07868225054759911,53,0,7
74,4e60c56be4cdf1e2be8cb207,Fung Sing,51.47374950670322,-0.08125400408249901,36,1,14
75,50030244e4b0a4b26d905d0c,Sceaux Gardens,51.474166642155396,-0.08241334711516751,38,1,8
77,4c767946b474a1cd5204bcbf,Southwark Register Office,51.473456,-0.081947,65,0,55
78,4e1f628e7d8b71715b95e95a,Jeelian's,51.47527000545483,-0.07822234202821009,30,0,2
79,4e02174aae609fa8ede47810,BP Connect,51.4745671697632,-0.07587432861328125,49,0,28
80,4bfea5c8daf9c9b68b03f9ef,Commercial Way,51.477902764130896,-0.07357220979350537,301,0,47
81,52ceb74f498e9858c7d3fe0b,ann bernadt childrens centre,51.47692892100591,-0.07538545171339792,1,0,1
82,4bd08853a8b3a5935210645f,Carve Consulting HQ,51.47311963908983,-0.07937410373383437,13,0,5
83,51ffe709498e9295864e9d7b,Maverickaizer's Music Box,51.473779187526475,-0.07509391229997957,18,1,2
85,5219815311d2230bf674a680,N89 Night Bus,51.4743537902832,-0.07551012933254242,5,0,4
86,4e9c3f80b803b562d7032d63,Coffe Shop Peckham Road,51.473924721049585,-0.08000015731470392,4,0,2
